roi,bp0.2-0.5_pre,bp0.5-1.0_pre,bp1.0-2.0_pre,bp2.0-5.0_pre,domfreq_pre,bp0.2-0.5_stim,bp0.5-1.0_stim,bp1.0-2.0_stim,bp2.0-5.0_stim,domfreq_stim,bp0.2-0.5_post,bp0.5-1.0_post,bp1.0-2.0_post,bp2.0-5.0_post,domfreq_post
14,0.5357335775593975,0.10530247355471985,0.12617900863789955,0.23278494024798282,0.2500000000000004,0.39663911889405784,0.4478593895944971,0.10721416158121552,0.04828732993022955,0.6000000000000009,0.39125523714664034,0.18854538441174515,0.1835087552987461,0.2366906231428684,0.46666666666666734
15,0.35040628603638774,0.21053942445926957,0.26800164551877176,0.17105264398557085,0.2500000000000004,0.583504063502564,0.09581898377748774,0.22021715094902042,0.10045980177092771,0.4000000000000006,0.18472391705467164,0.24717568939763623,0.26591919975128847,0.3021811937964035,0.9333333333333347
16,0.30635200172801835,0.2221206468604181,0.35591004901849305,0.11561730239307051,0.2500000000000004,0.25076321899239973,0.0349182339512298,0.3732440812305248,0.34107446582584555,0.2000000000000003,0.4351207750858981,0.060291534786618736,0.3642412114653536,0.14034647866212954,0.26666666666666705
17,0.5574469355874775,0.21387676430529376,0.10521000508991019,0.12346629501731844,0.2500000000000004,0.4092957255298295,0.1816527547411792,0.2249061418116815,0.18414537791730973,0.2000000000000003,0.22670832115179257,0.2605828560805075,0.2784605819271315,0.23424824084056822,0.3333333333333338
18,0.1931678191887257,0.33805706462225144,0.3113307545681567,0.15744436162086614,0.5000000000000008,0.44557043322415607,0.25008542738726947,0.2623577273772042,0.041986412011370274,0.4000000000000006,0.523124897872359,0.07579776401015619,0.24716787649578514,0.15390946162169955,0.2000000000000003
19,0.46860576005268917,0.07899486691554328,0.28643391483730757,0.16596545819445999,0.2500000000000004,0.8310517331554654,0.09742158610055428,0.027430179259139032,0.044096501484841386,0.4000000000000006,0.5921143237095794,0.07773310582173058,0.2027890638706553,0.12736350659803478,0.2000000000000003
20,0.1502198158454873,0.17580842670009159,0.369117837597297,0.30485391985712423,0.2500000000000004,0.764025780358036,0.169049058483882,0.03613729920360807,0.030787861954474006,0.4000000000000006,0.6214428743511596,0.10305769685628445,0.14529225888286604,0.13020716990968972,0.2000000000000003
21,0.6948187318987709,0.10517696811493786,0.15804404594058843,0.0419602540457029,0.2500000000000004,0.27663267091742955,0.16996174614691967,0.32576959096547137,0.2276359919701794,0.2000000000000003,0.6231221421186419,0.03981211017255685,0.21098501125097732,0.12608073645782383,0.4000000000000006
22,0.3185462091241105,0.21706015356665628,0.30752224693554137,0.15687139037369188,0.37500000000000056,0.5484401949288542,0.13433532505746146,0.20247618462521771,0.11474829538846676,0.4000000000000006,0.5770455706041427,0.1312043044432711,0.18451419964961693,0.10723592530296937,0.2000000000000003
23,0.19671983123017295,0.2424322750848174,0.22143028413304308,0.33941760955196654,0.2500000000000004,0.6366474445704802,0.2426345712951109,0.08864340834983458,0.03207457578457431,0.4000000000000006,0.677424161642069,0.1029204327978869,0.13710773041007734,0.08254767514996657,0.3333333333333338
