roi,rate_mean_pre,rate_peak_pre,rate_active_frac_pre,rate_mean_stim,rate_peak_stim,rate_active_frac_stim,rate_mean_post,rate_peak_post,rate_active_frac_post,dff_mean_pre,dff_peak_pre,dff_mean_stim,dff_peak_stim,dff_mean_post,dff_peak_post,rate_group
19,0.025513920371679433,0.040987597894854844,0.0625,0.02529171183937251,0.048043146525742486,0.22,0.02731017167573541,0.03588979103369638,0.014925373134328358,-0.0033601518,0.030632962,-0.016451346,0.05123013,-0.023564942,0.045192577,1
20,0.02660328066758666,0.033950432552956045,0.0,0.02586627174212026,0.040018311847234145,0.12,0.02828572153580964,0.03127416915958747,0.0,-0.0011876018,0.015339134,0.01456723,0.04118347,0.01250122,0.024483409,1
21,0.02690281406307804,0.035856771864928305,0.0625,0.02501883025324787,0.03307126375148073,0.0,0.02578884673760092,0.02951081783976406,0.0,0.005162717,0.027629968,0.00326935,0.029479587,-0.015180552,-0.004398852,1
22,0.02579552129463991,0.033877707610372454,0.0,0.02414155944134109,0.04532808452495374,0.08,0.02578473720615278,0.030637557501904666,0.0,-0.001995323,0.0184656,-0.011522341,0.03221379,-0.0070272605,0.016980622,1
23,0.025390668785576054,0.03877785726217553,0.025,0.03182553132343173,0.0779325288021937,0.28,0.029383549746243527,0.034984977974090725,0.03731343283582089,0.00032924386,0.060750015,0.044448733,0.11017523,0.029339178,0.049215555,1
24,0.025363453418322024,0.034959924523718655,0.0125,0.024303389289707412,0.04289204181986861,0.1,0.02658858768362829,0.0412696588318795,0.07462686567164178,-0.0063897027,0.010951194,0.0016817894,0.03851548,0.0076117665,0.052128598,1
25,0.02638858650243492,0.032041441882029176,0.0,0.02537235216223053,0.031854979461058974,0.0,0.02677411787079842,0.030909653869457543,0.0,0.0010335955,0.0139803635,-0.00028047516,0.01616001,0.0011787926,0.015725836,1
26,0.025324474693661614,0.03900601121131331,0.0375,0.022372725954619456,0.0384464421949815,0.08,0.02833399598673894,0.047166156728053465,0.05970149253731343,-0.008187517,0.016392643,-0.024909627,0.019279702,0.020595772,0.04881168,1
27,0.025937110982113154,0.03633227926911786,0.0375,1.2850422832656931,13.285419940948486,0.52,2.3108048783773376,16.601158380508423,1.0,-0.0010792451,0.02397168,0.037621986,0.3181902,0.74314475,0.85505867,2
28,0.02533066640899051,0.034795906831277534,0.0125,0.023484385571100573,0.032740085589466617,0.0,0.03885508156657518,0.04998659947887063,0.8880597014925373,0.0020211518,0.025434412,-0.0010568667,0.053544167,0.07219016,0.094809204,1
29,0.027050622144088265,0.03430333323194645,0.0125,0.02829428769707647,0.04580085751513252,0.3,0.033733837664302505,0.042605034686857834,0.4626865671641791,0.0049379547,0.022246001,0.03342894,0.06717097,0.053128097,0.07021546,1
30,0.02539476082984038,0.034945972438436,0.025,0.026436808635554598,0.03791577342781238,0.14,0.027873497537759466,0.03114756371360272,0.0,-0.000736578,0.012745886,0.007509044,0.034132432,0.010463405,0.022032522,1
31,0.024562327462859912,0.04375496588181704,0.1,0.02380180604013731,0.05600980584858917,0.12,0.026334538790706574,0.03240963036660105,0.0,-0.0029741311,0.04635599,-0.008568294,0.066335134,0.0020841784,0.02372875,1
