roi,bp0.2-0.5_pre,bp0.5-1.0_pre,bp1.0-2.0_pre,bp2.0-5.0_pre,domfreq_pre,bp0.2-0.5_stim,bp0.5-1.0_stim,bp1.0-2.0_stim,bp2.0-5.0_stim,domfreq_stim,bp0.2-0.5_post,bp0.5-1.0_post,bp1.0-2.0_post,bp2.0-5.0_post,domfreq_post
11,0.4483809427476309,0.32862059565776863,0.14063624148111348,0.08236222011348682,0.37499999999999467,0.3104902592979943,0.5451699114063474,0.10305059896396836,0.041289230331690095,0.3999999999999943,0.44308016146532736,0.20401222487072887,0.11954498726335024,0.23336262640059352,0.22857142857142532
12,0.5936251081404237,0.18000727739886718,0.08579330442627635,0.14057431003443263,0.24999999999999645,0.4516401006976249,0.23281995852752704,0.09665040541334503,0.21888953536150293,0.3999999999999943,0.38586812465376424,0.3367464428765318,0.11076141566707758,0.16662401680262615,0.342857142857138
13,0.6512335453093131,0.19731504040821768,0.0817591119632317,0.06969230231923726,0.24999999999999645,0.08797384045508103,0.6295543768158761,0.2207708197442892,0.06170096298475367,0.7999999999999886,0.5441790329598762,0.21281399388233857,0.13582349000160324,0.10718348315618191,0.342857142857138
14,0.21273641406818294,0.5543825396163615,0.16162392264554462,0.07125712366991084,0.8749999999999876,0.5162462939141641,0.2763607057413887,0.14639060322677455,0.06100239711767263,0.3999999999999943,0.17639631538127326,0.3565914149413669,0.13636730135126526,0.3306449683260946,0.5142857142857069
15,0.48230341308993585,0.331845938195673,0.10925196276411839,0.07659868595027267,0.24999999999999645,0.22892533217100536,0.5327862481789437,0.19683483753350572,0.04145358211654516,0.7999999999999886,0.2692775714078725,0.30481887434851734,0.21519585993473483,0.21070769430887534,0.22857142857142532
16,0.3613428349283475,0.3468040056909773,0.2145245478505887,0.07732861153008648,0.24999999999999645,0.11731910418558031,0.6270922714397306,0.20975759763343219,0.04583102674125698,0.7999999999999886,0.17036979094178603,0.24106871781789557,0.16361628376934886,0.42494520747096964,2.457142857142822
17,0.6670428532914706,0.20027143029563596,0.0765790351165847,0.05610668129630894,0.24999999999999645,0.229981479448146,0.5558834828078449,0.18535438023934916,0.02878065750465977,0.7999999999999886,0.2678708700191895,0.30640869178897445,0.20924892300499098,0.21647151518684507,0.9428571428571294
18,0.3514997495599642,0.2741271346858959,0.2725614363125375,0.1018116794416024,0.24999999999999645,0.5207494131314994,0.18853447085142333,0.16147371530032467,0.12924240071675278,0.3999999999999943,0.15443801939239343,0.14569147885862255,0.22848591093276735,0.47138459081621686,2.742857142857104
19,0.7075065807258654,0.2185218333236956,0.04193234122478813,0.032039244725650874,0.24999999999999645,0.3398286635059267,0.33675371695539474,0.22433963700228568,0.09907798253639291,0.3999999999999943,0.0814553148407888,0.6574470559534675,0.14887185788656884,0.11222577131917469,0.8857142857142731
20,0.4093478646859721,0.40858627956478133,0.11764657464416933,0.06441928110507719,0.24999999999999645,0.40487403534659777,0.5248374186021,0.02343069233303824,0.04685785371826395,0.3999999999999943,0.2298694725311895,0.29514154158051714,0.2764595490346024,0.19852943685369098,0.7999999999999886
21,0.4933921117195042,0.07613157774660895,0.15024901128714646,0.2802272992467405,0.24999999999999645,0.28506350360675775,0.6021795399830945,0.06857228497531515,0.04418467143483274,0.5999999999999914,0.08998329515841648,0.3081821982390526,0.39156411232183147,0.21027039428069946,0.7999999999999886
22,0.6897810555024086,0.14466941402073225,0.10913256451173112,0.05641696596512814,0.4999999999999929,0.19289905621402767,0.5056764903997037,0.2433437803612785,0.058080673024990134,0.9999999999999858,0.14936953494773594,0.6161838261333636,0.1438549467247492,0.09059169219415115,0.8857142857142731
23,0.7524452148878653,0.13146904157398875,0.04044578118274202,0.07563996235540428,0.24999999999999645,0.38698787931782186,0.45064535887850343,0.13930729588465277,0.023059465919021933,0.3999999999999943,0.3307478369406446,0.3868730113845744,0.13388607303206085,0.14849307864272016,0.685714285714276
24,0.5894119319218781,0.22856260179718166,0.07892113611868545,0.10310433016225481,0.24999999999999645,0.48411475679272087,0.3254983194780859,0.15078217528208762,0.039604748447105625,0.3999999999999943,0.3718718533665491,0.2814911715082279,0.16825502105007456,0.17838195407514845,0.28571428571428165
25,0.7138939736991622,0.1391193812981987,0.08304355373389433,0.06394309126874453,0.24999999999999645,0.054597859970199496,0.6813145542012238,0.1947258945005926,0.06936169132798423,0.7999999999999886,0.34792579172793847,0.3302869709905721,0.14255947281166992,0.17922776446981953,0.31428571428570984
26,0.6410143416872252,0.1450598438817117,0.13619510905016827,0.07773070538089501,0.24999999999999645,0.5231689216856883,0.33720640039279953,0.1038570284843694,0.03576764943714303,0.3999999999999943,0.20388174948032503,0.30100864028009205,0.23554232736699052,0.2595672828725926,0.7999999999999886
27,0.555001114098957,0.3117309442435979,0.09067553839432703,0.042592403263118216,0.24999999999999645,0.09832612491193371,0.5251004031682478,0.3123348667475327,0.06423860517228588,0.9999999999999858,0.2707223395405803,0.37776186319015725,0.258622814835033,0.09289298243422933,0.8857142857142731
28,0.6033920417766102,0.29881660055257797,0.055133016545684886,0.042658341125127064,0.24999999999999645,0.47294356610917443,0.40099465663085276,0.09610076246099926,0.029961014798973423,0.3999999999999943,0.1818928057353736,0.2194527637008875,0.1965434440312967,0.4021109865324421,0.48571428571427877
29,0.40063615243189477,0.2832941733915237,0.16457423370921223,0.15149544046736912,0.24999999999999645,0.09047736987061293,0.5054219908379072,0.21031794023139527,0.19378269906008472,0.5999999999999914,0.3322621895097443,0.2721434115918924,0.25290680913738994,0.14268758976097326,0.342857142857138
30,0.8348415114759277,0.05442466663479288,0.05496423572521231,0.05576958616406685,0.24999999999999645,0.12911264989705898,0.22704634106343466,0.44770631480227824,0.19613469423722824,1.7999999999999743,0.3756118467601656,0.33750244877284885,0.13752075490631363,0.14936494956067162,0.31428571428570984
31,0.5990040236726213,0.20504489177002105,0.07992683992974096,0.11602424462761636,0.24999999999999645,0.3719296549759522,0.3463195850666166,0.1445413492403959,0.13720941071703532,0.3999999999999943,0.4731410271361568,0.3119561117177242,0.11848807733832797,0.09641478380779109,0.31428571428570984
32,0.3697476098447686,0.36327853004597,0.16877711137272314,0.09819674873653814,0.24999999999999645,0.5229407372982485,0.33069613822996624,0.11664251169686442,0.029720612774921,0.3999999999999943,0.3719001152599643,0.29948534875672833,0.1820019584124297,0.14661257757087776,0.22857142857142532
