roi,rate_mean_pre,rate_peak_pre,rate_active_frac_pre,rate_mean_stim,rate_peak_stim,rate_active_frac_stim,rate_mean_post,rate_peak_post,rate_active_frac_post,dff_mean_pre,dff_peak_pre,dff_mean_stim,dff_peak_stim,dff_mean_post,dff_peak_post,rate_group
11,0.37771632735578575,0.5745044611186021,0.1375,0.43873471386173546,0.5353880841935655,0.82,0.3140043841574238,0.3529268884828226,0.0,-0.00543077,0.009284276,-0.014088733,0.017152155,0.01085457,0.028564446,2
12,0.35051586790638584,0.39249733490355637,0.0,0.3470932021875167,0.4157794770022367,0.16,0.30539364055852786,0.3805283292803354,0.0,-0.0003836049,0.015325397,0.0022727887,0.022590632,0.018504292,0.048024125,1
13,0.36933705254463595,0.549819605115284,0.2,0.5015696456927635,0.713710769754958,0.9,0.366525695304971,0.48766611654940656,0.27058823529411763,-0.002274162,0.021947118,-0.02043357,0.016637437,-0.0029801154,0.029896304,2
14,0.4089899322038583,0.6415237494977147,0.55,0.41635619553074626,0.5825738077595547,0.38,0.34743573600731387,0.4230926572837601,0.07647058823529412,-0.010761881,0.011832867,-0.008210915,0.026390115,0.0008268105,0.022513986,2
15,0.4144681637444467,0.8868662969008394,0.425,0.5521429926978731,0.7598356372691488,1.0,0.3573624890702757,0.48564355021900424,0.19705882352941176,-0.009646842,0.027134964,-0.02640432,0.0076707965,0.0017825592,0.03830818,2
16,0.3803400258621535,0.4659585800565308,0.25,0.4205658992067283,0.48029090925842133,0.66,0.31131652246215485,0.3647529887602712,0.0,-0.005054123,0.03289597,-0.012659459,0.011263271,0.0137190325,0.04537773,2
17,0.5518904292061296,2.285095175020487,0.775,1.1136433754730006,2.1753400057105603,1.0,0.5109215067856449,0.9045685605857045,0.611764705882353,-0.022656424,0.03404974,-0.066594675,-0.00092829816,-0.013281355,0.07138054,2
18,0.4078003168672958,0.7998076042755157,0.4,0.4639589301001566,0.6008084455744048,0.72,0.29684568822091534,0.3444145494052922,0.0,-0.008865143,0.033955034,-0.018642247,0.011456989,0.0203389,0.05808837,2
19,0.6334796728731936,2.5143673022875963,0.6,2.142780664667984,10.180431806112908,1.0,2.107717151870967,4.627523321858296,1.0,0.012158726,0.14693579,0.08637289,0.19201328,0.20143735,0.35866323,3
20,0.37437546228424823,0.4518334466835888,0.15,0.35211379128247017,0.4814075876552625,0.26,0.3523675237368494,0.500950129737367,0.3352941176470588,-0.0055071996,0.0066861464,0.005815268,0.032081347,0.0024572678,0.033666868,1
21,0.3521476201976751,0.8625903207805355,0.1375,1.6713670163551426,5.803437269109989,0.88,0.5482210801564061,1.1998644014444797,0.5117647058823529,0.015436165,0.09862468,0.12972765,0.21785848,-0.0014291645,0.12136749,2
22,1.0813054408920661,9.810607647282746,0.6625,2.4760237237417515,9.586871454249637,1.0,2.017718783798498,5.710030654952233,1.0,-0.022102665,0.18928592,0.024063094,0.18499485,0.2022846,0.3806377,4
23,0.38194553220318445,0.5098437984939872,0.2875,0.4044336288679405,0.8383983592037637,0.42,0.42371912996266303,0.5907023908578931,0.47352941176470587,-0.0062820823,0.008575724,0.03484082,0.09504982,-0.014356921,0.033206854,1
24,0.40592147418934743,0.8113895974599424,0.425,0.6024681692866201,1.0857442715005614,1.0,0.36498727192348474,0.5044271587158166,0.2823529411764706,-0.009120252,0.010825977,-0.029919801,0.0010916061,7.869952e-05,0.03661674,2
25,0.3838185601347994,0.5871025849002458,0.3375,0.5482999718432658,0.8659344314431935,0.94,0.6088643550046259,0.9131372345486797,1.0,-0.00561689,0.01752596,-0.026951978,0.0150615135,-0.041809656,-0.0010664988,2
26,0.4834439937682042,2.015881806433373,0.55,0.8491799376347647,2.147009723434916,1.0,0.5704786278597324,1.091367874627711,0.9852941176470589,-0.016306147,0.0036027334,-0.04646884,-0.0045957845,-0.034721226,0.0026120094,2
27,0.41565083440023054,0.7679587699349503,0.5,0.5261777403984833,0.6372722577726977,0.96,0.4101281933804004,0.5088984487932482,0.5941176470588235,-0.011331758,0.013232288,-0.023197418,0.024246832,-0.0129257655,0.01390543,2
28,0.35212484711991177,0.39627614686572105,0.0,0.33920169867273176,0.6093150783032087,0.18,0.3068876420970737,0.387183244629036,0.0,-0.0010130183,0.011177567,0.021983093,0.05548992,0.016764238,0.043320403,1
29,0.3282857024954487,0.3813165777211892,0.0,0.3555740539421734,0.6751576845592321,0.26,0.35929185521340645,0.514142801958286,0.36764705882352944,0.012429418,0.06221146,0.030746035,0.110350646,0.002984346,0.042882636,1
30,0.3109401386072933,0.3639249657837336,0.0,0.29720350875721135,0.3795022180075908,0.0,0.6916851523541302,1.368315261113759,0.8441176470588235,0.024497401,0.07536712,0.036890514,0.083205126,-0.045513462,0.006708736,1
31,0.35233051575793317,0.4652479075076779,0.075,0.37495171761616514,0.4415348022649119,0.24,0.47259008926484164,0.6196511022197768,0.8529411764705882,0.0016293576,0.030564394,-0.0033748779,0.021310413,-0.023454223,0.0013100088,1
32,0.4395301830863885,0.655149056304785,0.7625,0.4806017770048554,0.6903940926176123,0.84,0.3981923258953294,0.561129212746895,0.5823529411764706,-0.01552709,0.04564788,-0.01932779,0.0022230472,-0.0058289734,0.047422927,2
33,0.36156135401323597,0.45194615498163065,0.1125,0.3356431462852924,0.3776923952867925,0.0,0.4740838494296482,0.7793420119012414,0.5794117647058824,-0.0026056531,0.018223023,0.008981244,0.037698027,-0.021923989,0.01921591,1
34,0.39568448177421106,0.5343537857518492,0.4,0.378795657246836,0.6504851124553581,0.36,0.29988950714899953,0.41526966514722347,0.0029411764705882353,-0.008755487,0.013725482,0.006508746,0.05263745,0.01926293,0.04971473,2
35,0.48752319840746533,1.4390618932126162,0.675,0.5615887335506281,1.0137119031724247,0.96,0.36474984419760664,0.7474697508387053,0.36764705882352944,-0.0198227,0.008801896,-0.023543807,0.029929478,0.012878308,0.079752654,2
36,0.4685138072714648,1.345038049193371,0.675,0.6651138513829495,0.9133058091953627,1.0,0.5207840249191473,1.2092751461556508,0.49117647058823527,-0.016542582,0.009784399,-0.035144128,0.002972749,-0.018126203,0.0486724,2
37,0.3520497908202581,0.40297311726724394,0.0125,0.3845851565662888,0.469255230219424,0.42,0.42945159897577556,0.5151616419141172,0.6676470588235294,-0.001423192,0.010981784,-0.0025022835,0.037051704,-0.016715886,0.004026796,1
