time_s,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31
7.4,-0.0008379773,-0.006327942,0.0017552079,-0.00754188,-0.009725462,-0.00912897,-0.0042115175,-0.0011401951,-0.0031187523,0.0007293907,-0.004798412,-0.004484701,-0.0021242204,-0.0053551467,-0.0004158196,-0.0005703447,0.006385757,0.0029312116,0.009976722,0.008751878,0.023447886,0.0048379106,0.0005259998,-0.005017508,0.0062325485,-0.006030327,-0.0044984096,-0.004847191,-0.0004917369,0.0012106852,0.003635326
7.5,-0.004877637,-0.00603135,-0.0023538405,-0.008376056,-0.013282109,-0.0074842195,-0.0047478257,-0.0074397954,-0.008113528,-0.0032488033,-0.0053316266,-0.0097861495,-0.007457047,-0.00991836,0.001482179,-0.001394842,0.007666226,-0.0016717741,0.0052829427,-0.0037765899,0.021267233,0.0049230387,-0.00505556,-0.0052283155,0.0044112834,-0.0032627007,-0.0015649324,0.0002997915,-0.006262493,0.00080191094,0.0014303531
7.6,-0.0055285967,-0.0030290505,0.000535345,-0.0058451155,-0.008793085,-0.009183368,-0.0025971509,-0.008905349,-0.004398597,-0.000567564,0.00078237336,-0.004302113,-0.0024993701,-0.0076318844,0.001332733,-0.0010319033,0.010506845,0.005959028,0.013954458,-0.00059421995,0.02639592,0.0075303903,-0.0068507437,-0.008551058,0.0088202255,-0.0011596297,0.0014385232,0.00517393,0.00046868352,0.0029595504,0.005150813
7.7,0.0028493267,0.003236002,-0.00036253454,-0.00042146433,0.004393458,-0.004651123,0.0033168965,-0.004968505,0.007053397,0.009498464,0.0025033401,0.00893499,0.0026728648,0.00421968,0.0070660794,0.00858393,0.014886538,0.007604011,0.008562788,-0.00018175716,0.026188431,0.002144721,-0.0037166236,0.00030652378,0.0139803635,0.003670414,-0.0019368724,0.012404206,0.0032333399,0.0033735079,0.01325978
7.8,-0.00051278446,0.0024226147,-0.002754708,-0.002405214,-0.00076638744,0.0034615947,-0.0043036714,0.0051074363,0.014159155,0.0021485428,0.0027675512,0.013698957,0.0045665726,-0.011352229,0.004765407,0.010601426,0.010663455,0.0172293,0.030632962,0.00065864477,0.027629968,0.0184656,-0.030474668,-0.009908406,0.008960984,0.008332964,-0.008759977,0.02031482,0.005090475,0.0043580625,0.04635599
7.9,0.002673085,0.0005241585,0.0030013425,0.00025119353,-0.004615436,-0.0023736418,-0.00016551466,0.00032842273,-0.0010573468,0.0040485747,0.00072351,0.0001844503,-0.0017706051,-0.0012216071,-0.0023917411,0.0025877522,0.0046514017,0.003017344,0.0028251188,0.002125119,0.02067039,0.0023462924,0.0049054176,-0.0043000835,0.008260512,0.005836634,0.006995014,0.011616434,0.0052819005,0.0031141695,0.00077648
8.0,-0.000103296545,-0.00023517493,0.0053971205,0.003393072,-0.0019933756,0.001086148,-0.0009134871,-0.0027792444,-0.0012366974,-0.001620366,0.0035735148,-0.0013960897,-0.0021494164,-0.0018840483,0.0022121985,0.0005547045,0.0036718745,0.006049698,0.005082368,0.004789751,0.018582968,0.006868317,0.003982183,-0.00419776,0.0072129746,0.00018845337,-0.001280068,0.00516152,0.015046655,0.007458088,0.0039966796
8.1,-0.0013074664,0.0040723365,0.0037512276,0.0035199097,0.0031322478,0.0030279073,-0.0019144119,-0.0016304085,-0.0015119535,-0.00042115312,0.0051938295,0.00034185653,0.0012346023,-0.0029789724,0.0017929194,0.001281364,0.004079484,0.0059340694,0.007722024,0.0034058772,0.019301394,0.007168292,0.00011280744,-0.004588482,0.009674428,-0.0020675666,0.0062244134,0.007170531,0.013267428,0.010992101,0.0059955064
8.2,0.0037334687,0.002579132,0.0091152135,0.007832849,0.006559108,-4.742678e-05,0.0015929608,0.0013268671,0.00019751104,-0.0009911384,0.0048311385,0.003985762,0.0029467947,0.0061189905,0.0012154594,0.0026073025,5.113444e-05,0.0055657155,-0.0018463854,0.006117028,0.013821412,0.0011667616,0.011202461,0.0033315823,0.01077347,-0.0028076482,0.010316314,0.011994055,0.016458366,0.006568413,-0.00020198224
8.3,-0.0015731043,-0.0013641741,0.002934589,0.004042544,0.0030326082,0.009095174,0.0031084975,0.00018532382,-0.0009887482,0.004593539,0.0014461962,0.0038653594,0.001527451,0.0057167504,0.0028098093,0.00011269608,-0.0020513341,0.005184795,0.007336379,-0.00019750345,0.014040481,0.00834914,0.0024701215,-0.0008648382,0.007437426,0.0005769239,0.004384894,0.012301735,0.01459979,0.0067785545,0.008341069
