time_s,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31
2.1,0.007808308179164669,0.010456095478730276,0.013459722831612453,0.010587583510641707,0.007624696036145906,0.013733054597651062,0.011828164915641537,0.011055196737288497,0.009178022810374387,0.008162076555890962,0.00934503539610887,0.009315053939644713,0.007754276302875951,0.009219954608852277,0.006255666812648997,0.009301523796239053,0.009140665533777792,0.010343755930080079,0.009263064021070022,0.011531467644090299,0.010640139635142987,0.00941524954214401,0.012308294917602325,0.011281515435257461,0.009710814210848184,0.004975955062036519,0.008871893587638624,0.006173785041028168,0.009107406558541697,0.011788676447395119,0.008843357645673677
2.2,0.009567792531015584,0.012206698884256184,0.013347069819928947,0.012087459967915493,0.009450684519833885,0.01339981987257488,0.011060605756938457,0.012726958229904994,0.008030827448237687,0.008487622442316933,0.011677931288431864,0.011185760504304199,0.010074372727331138,0.00877522952578147,0.009147102900897153,0.01192640804219991,0.013774971812381409,0.013533736600948032,0.013378511448536301,0.012150461843702942,0.011941354041482555,0.011539529350557132,0.012244577651472355,0.008736352665437153,0.012989635724807158,0.007010648987488821,0.011322553145873826,0.006536911314469762,0.013220246364653576,0.00928949870285578,0.01165268877230119
2.3,0.010345215799816287,0.010125423959834734,0.012685860419878736,0.011717508878064109,0.010224278375972062,0.012169743895356078,0.01081630101907649,0.011792714958573924,0.011862273458973505,0.008271957995020784,0.011306296009934158,0.007273088485817425,0.010110954826814122,0.007723759117652662,0.0070238812622847036,0.010060991507998551,0.01238786715475726,0.010756487936305348,0.012871648650616407,0.013316865297383629,0.009984727003029548,0.008780594134805142,0.00962203266681172,0.008010621313587762,0.012327860422374215,0.006166513230709825,0.011067907216784079,0.009414623389147891,0.012753958944813348,0.01097577354812529,0.009985502001654822
2.4,0.012649352487414944,0.012556786896311678,0.011103595825261436,0.012586633674800396,0.010013903483923059,0.012443045998224989,0.01205560080052237,0.011378417561900278,0.01051999170158524,0.007591749708808493,0.012348319423836074,0.008755634735280182,0.007890458218753338,0.008475209797325078,0.008417050376010593,0.009355331831102376,0.012134726428030262,0.010732720834312204,0.010954226345347706,0.011640872035059147,0.009846951070358045,0.010632778758008499,0.009782757006178144,0.013213778947829269,0.010125826447620057,0.007553438772447407,0.011564786836970598,0.00787087807111675,0.011572803341550753,0.008930291442084126,0.00935986183321802
2.5,0.013545538313337602,0.01305652673181612,0.009903023869810568,0.013267363428894896,0.011551986590347951,0.01242859207195579,0.011743660230649766,0.012577782531479897,0.010792206144287775,0.008902828412828967,0.01387443655403331,0.012533391927718185,0.011259089260420296,0.011663551777019165,0.008021320400075638,0.011650155547613394,0.01245757461674657,0.006158407072689442,0.007007802996668033,0.009882207250484498,0.008500213880324736,0.012565384568006266,0.00858583614899544,0.007199476676760241,0.00669490826112451,0.009638602705308585,0.012299145600991324,0.007354105928243371,0.010597492509987205,0.007670993927604286,0.005333821536623873
2.6,0.012127141708333511,0.013000811413803604,0.009539644488540944,0.013734872700297274,0.010756682095234282,0.011015365744242445,0.013099501957185566,0.012705887966149021,0.01066284894477576,0.011865223932545632,0.01208889028930571,0.013695533634745516,0.009000922727864236,0.012618880045920378,0.01127598714447231,0.010127569457836216,0.00982182779807772,0.009303312035626732,0.010717521408878383,0.011466513460618444,0.012290353915886953,0.013175304055152992,0.009322862242697738,0.009490813135926146,0.010414372169407216,0.010797734503285028,0.012320603200350888,0.006582017304026522,0.008688579328008927,0.008286352504001115,0.009939412630046718
2.7,0.008835892367642373,0.011565114591576275,0.011371921063982882,0.012108157307011425,0.008006851239770185,0.010717402365116868,0.011388371567591093,0.011401231517993438,0.009740452442201786,0.008832137145873276,0.011196787854714785,0.0119957728566078,0.009258101986233669,0.012122760699639912,0.01236094092746498,0.013815443389830762,0.012631620584215852,0.010219241885351948,0.01063581854396034,0.012802223645849153,0.01153860530394013,0.010757292848211364,0.010670359479263425,0.006801288036513142,0.010056327137135668,0.009969423699658364,0.011146078832098283,0.009489159274380654,0.011409024773456622,0.010978217178490013,0.010862152084882837
2.8,0.010604704905290419,0.012046854080836056,0.012687201497101341,0.011296342227069545,0.012664805435633752,0.01185698332847096,0.011199871987628285,0.014184634455887135,0.013760324000031687,0.01216101176396478,0.013135950412106467,0.013104255413054489,0.0161803620721912,0.0115468605508795,0.017420883268641774,0.013841177697031526,0.013118918341206154,0.014424602850340307,0.015696908608333615,0.013179461730032926,0.01380055707613792,0.012305851341807283,0.009128714855251019,0.008236805806518532,0.012177716243968462,0.01009395273285918,0.011314059793221531,0.01589786551448924,0.009638349401939195,0.011635954615485389,0.01669658249738859
2.9,0.01246289462869754,0.012463773527997546,0.011649797852442134,0.012626703246496618,0.012586708107846789,0.01272347137273755,0.012548322629299946,0.011802385779446922,0.015146772311709356,0.014170970061968546,0.01374016243062215,0.013429592290776782,0.015222872934828047,0.011083598219556734,0.017265225724258926,0.016607876132184174,0.012784461468982045,0.016567926031711977,0.015612388961017132,0.013911317364545539,0.015904764677543426,0.010981153027387336,0.00974052683886839,0.008804897897789488,0.01243157254975813,0.014610062526116963,0.012821982818422839,0.01580778796778759,0.011027287146134768,0.012957255275978241,0.015874843520577997
3.0,0.014003480755491182,0.012157897581346333,0.012147675115556922,0.01271721295779571,0.011201853958482388,0.011801193686551414,0.012337456355453469,0.011141846862301463,0.012465010404412169,0.009588192151568364,0.012084077243343927,0.008708368350198725,0.013359542062971741,0.011156077671330422,0.01222341787070036,0.013121108713676222,0.011476273866719566,0.012178833603684325,0.014175812721077818,0.012172366587037686,0.010494436173758004,0.00870994757860899,0.009216572289005853,0.009112100487982389,0.011177326668985188,0.01123398105846718,0.011985818709945306,0.011673520639305934,0.007339487610806827,0.013645331637235358,0.01010846648568986
3.1,0.013289163616718724,0.01344266056548804,0.010063032732432475,0.013452510283968877,0.013794954284094274,0.010982419771607965,0.01147810646216385,0.01263387021026574,0.010183270169363823,0.008183444988389965,0.013490955752786249,0.01014013156236615,0.011877010838361457,0.010420049438835122,0.010969634349748958,0.010124157470272621,0.010636190854711458,0.011681850264722016,0.011750008270610124,0.011047194893762935,0.010385404384578578,0.009152154452749528,0.006899590553075541,0.00990187661955133,0.013102988714308594,0.00587255803111475,0.01274624009965919,0.007353822929871967,0.010209317406406626,0.010583128077996662,0.010368759958510054
3.2,0.008975829205155605,0.011602382401179057,0.010542909585637972,0.012938927320647053,0.011599148501773016,0.011896933392563369,0.009920398915710393,0.011722172839654377,0.00977457602857612,0.00694372760335682,0.013037885437370278,0.009940247400663793,0.007703121082158759,0.012326951400609687,0.010028148972196504,0.007552842871518806,0.011060099404858192,0.011540020987013122,0.00881149902852485,0.009989212630898692,0.009341756667708978,0.010479356187715894,0.011009897007170366,0.008643622400938966,0.010599623537927982,0.006633903103647754,0.013997877977089956,0.005324433823261643,0.007042940051178448,0.010195161503361305,0.008202130993595347
3.3,0.009046385966939852,0.011931742883461993,0.011533747519933968,0.01016002426695195,0.011586273976718076,0.010199601929343771,0.010463903636264149,0.011457349114607496,0.011852572897623759,0.007259125850396231,0.0116976753633935,0.011168207274749875,0.006610880518564954,0.011498640233185142,0.00804264418547973,0.0059183792473049834,0.012640486602322198,0.012554015484056436,0.01205302331072744,0.011115963716292754,0.010976756857417058,0.011766563038690947,0.009740377936395817,0.009175832456094213,0.01212480230606161,0.003952498591388576,0.012614513871085364,0.004148806383454939,0.0066825701514972025,0.010482768775545992,0.009110386381507851
